error_mean error_std nr_incoherent_ffl nr_neg_feed
1.438000000000000078e+01 1.324990566004150772e+00 1.230000000000000000e+02 6.500000000000000000e+01
1.448000000000000043e+01 1.043839068055991026e+00 9.000000000000000000e+01 7.300000000000000000e+01
1.391999999999999993e+01 1.278123624693636495e+00 1.070000000000000000e+02 7.200000000000000000e+01
1.422000000000000064e+01 1.473634961583091485e+00 8.900000000000000000e+01 4.000000000000000000e+01
1.391999999999999993e+01 9.558242516278816492e-01 1.250000000000000000e+02 5.200000000000000000e+01
1.382000000000000028e+01 1.227843638253666159e+00 7.500000000000000000e+01 4.200000000000000000e+01
1.367999999999999972e+01 1.271849047646771647e+00 1.090000000000000000e+02 7.200000000000000000e+01
1.425999999999999979e+01 1.520657752421628928e+00 1.100000000000000000e+02 6.400000000000000000e+01
1.448000000000000043e+01 1.203993355463392811e+00 1.130000000000000000e+02 8.300000000000000000e+01
1.390000000000000036e+01 1.118033988749894903e+00 1.120000000000000000e+02 7.900000000000000000e+01
1.416000000000000014e+01 1.488086019019061901e+00 1.290000000000000000e+02 8.500000000000000000e+01
1.438000000000000078e+01 1.146996076715173452e+00 1.400000000000000000e+02 5.400000000000000000e+01
1.443999999999999950e+01 1.358823020117042590e+00 1.080000000000000000e+02 6.500000000000000000e+01
1.458000000000000007e+01 1.201499063670047107e+00 1.010000000000000000e+02 7.200000000000000000e+01
1.466000000000000014e+01 1.305526713629407087e+00 1.060000000000000000e+02 6.600000000000000000e+01
1.414000000000000057e+01 1.296302433847904334e+00 9.700000000000000000e+01 7.300000000000000000e+01
1.417999999999999972e+01 1.071260939267366430e+00 1.080000000000000000e+02 7.800000000000000000e+01
1.398000000000000043e+01 1.489832205317095593e+00 1.070000000000000000e+02 6.900000000000000000e+01
1.451999999999999957e+01 1.062826420446913778e+00 1.320000000000000000e+02 8.600000000000000000e+01
1.353999999999999915e+01 1.152562362737912682e+00 1.140000000000000000e+02 5.900000000000000000e+01
1.461999999999999922e+01 1.495192295325253662e+00 1.240000000000000000e+02 8.400000000000000000e+01
1.377999999999999936e+01 1.237578280352398474e+00 1.100000000000000000e+02 7.700000000000000000e+01
1.451999999999999957e+01 1.284367548640185763e+00 9.700000000000000000e+01 7.300000000000000000e+01
1.419999999999999929e+01 1.248999599679679662e+00 1.130000000000000000e+02 7.000000000000000000e+01
1.488000000000000078e+01 1.259206099095775633e+00 9.300000000000000000e+01 6.100000000000000000e+01
1.435999999999999943e+01 1.034601372510205008e+00 1.130000000000000000e+02 6.200000000000000000e+01
1.380000000000000071e+01 1.264911064067351765e+00 1.040000000000000000e+02 6.600000000000000000e+01
1.375999999999999979e+01 1.304760514424007312e+00 8.600000000000000000e+01 7.000000000000000000e+01
1.324000000000000021e+01 1.105621996886820169e+00 1.210000000000000000e+02 3.400000000000000000e+01
1.401999999999999957e+01 1.240806189539688020e+00 9.600000000000000000e+01 6.000000000000000000e+01
1.251999999999999957e+01 1.081480466767661852e+00 4.700000000000000000e+01 4.800000000000000000e+01
1.317999999999999972e+01 1.321968229572859199e+00 8.800000000000000000e+01 6.500000000000000000e+01
1.332000000000000028e+01 1.302919797992186490e+00 8.300000000000000000e+01 5.400000000000000000e+01
1.393999999999999950e+01 1.255547689257560551e+00 1.130000000000000000e+02 7.000000000000000000e+01
1.322000000000000064e+01 1.188107739222331594e+00 9.900000000000000000e+01 2.800000000000000000e+01
1.393999999999999950e+01 1.405844941663197734e+00 1.200000000000000000e+02 5.500000000000000000e+01
1.385999999999999943e+01 1.442359178568223266e+00 9.300000000000000000e+01 4.400000000000000000e+01
1.388000000000000078e+01 1.274990196040738155e+00 1.110000000000000000e+02 6.000000000000000000e+01
1.380000000000000071e+01 1.248999599679679662e+00 1.210000000000000000e+02 7.600000000000000000e+01
1.301999999999999957e+01 1.048618138313466286e+00 8.200000000000000000e+01 7.100000000000000000e+01
1.319999999999999929e+01 1.166190378969060193e+00 8.300000000000000000e+01 3.400000000000000000e+01
1.308000000000000007e+01 1.197330363767661332e+00 9.700000000000000000e+01 5.800000000000000000e+01
1.291999999999999993e+01 8.908422980528035717e-01 1.140000000000000000e+02 4.700000000000000000e+01
1.432000000000000028e+01 1.287478155154486492e+00 1.060000000000000000e+02 7.000000000000000000e+01
1.300000000000000000e+01 1.280624847486569795e+00 9.400000000000000000e+01 3.900000000000000000e+01
1.408000000000000007e+01 1.354104870384860604e+00 1.180000000000000000e+02 7.100000000000000000e+01
1.375999999999999979e+01 1.320000000000000062e+00 1.220000000000000000e+02 7.800000000000000000e+01
1.325999999999999979e+01 9.551963149007642873e-01 6.800000000000000000e+01 4.400000000000000000e+01
1.322000000000000064e+01 1.253634715537185418e+00 1.080000000000000000e+02 7.400000000000000000e+01
1.306000000000000050e+01 1.138595626199222721e+00 5.900000000000000000e+01 5.800000000000000000e+01
1.358000000000000007e+01 1.150478161461572446e+00 8.500000000000000000e+01 5.400000000000000000e+01
1.346000000000000085e+01 1.203494910666430773e+00 8.500000000000000000e+01 7.100000000000000000e+01
1.446000000000000085e+01 1.169786305271180771e+00 1.000000000000000000e+02 7.600000000000000000e+01
1.277999999999999936e+01 9.008884503644166708e-01 9.600000000000000000e+01 4.800000000000000000e+01
1.350000000000000000e+01 1.135781669160054630e+00 7.100000000000000000e+01 3.900000000000000000e+01
1.306000000000000050e+01 1.084619749036499936e+00 7.300000000000000000e+01 6.000000000000000000e+01
1.288000000000000078e+01 1.227028932014237350e+00 9.000000000000000000e+01 5.400000000000000000e+01
1.356000000000000050e+01 1.329059818066891996e+00 3.800000000000000000e+01 4.900000000000000000e+01
1.372000000000000064e+01 1.149608629055993037e+00 8.800000000000000000e+01 6.000000000000000000e+01
1.391999999999999993e+01 1.262378707044760073e+00 9.800000000000000000e+01 7.400000000000000000e+01
