error_mean error_std
3.651635634496932514e-01 2.023598902461606897e-02
3.540545433316586443e-01 1.573131960218790773e-02
3.565070446960474926e-01 2.588360087203445126e-02
3.795068610032046319e-01 2.695101061504660833e-02
3.795673734296556856e-01 2.356890464507890165e-02
3.725128308834191881e-01 2.778355638053797358e-02
3.703504084018595655e-01 2.492462817157240634e-02
3.752367459853514498e-01 4.245924310331912477e-02
3.808796559835605500e-01 3.396755891576985764e-02
3.761238319637694172e-01 2.800112748533626489e-02
3.696092419813768459e-01 2.760854730310626989e-02
3.833000962105044818e-01 2.498362950839566957e-02
3.673268637418394822e-01 2.030673304650664618e-02
3.677131841126615175e-01 3.092794709066670408e-02
3.728413398630787134e-01 4.935054801220727788e-02
3.597840261683350471e-01 1.807856722127927987e-02
3.742717979244673532e-01 2.184291940424845993e-02
3.790345762498755766e-01 2.436493846001802285e-02
3.736046502005724856e-01 2.971118419757899989e-02
3.815090255314088075e-01 3.514839068593703097e-02
3.587529260146674059e-01 1.903924574855259469e-02
3.712677253903576280e-01 2.305520626874631163e-02
3.681510086104368140e-01 2.835571856474196004e-02
3.654589845953923333e-01 2.221929192149364046e-02
3.752082380805634720e-01 2.379623567262114520e-02
3.747527273637965561e-01 4.910535088004214233e-02
3.745944453730279400e-01 2.958086036631941279e-02
3.735508040275670738e-01 2.359057528667344791e-02
4.218585492586125474e-01 5.495638114641243632e-02
3.903849355509454444e-01 3.636565166106989905e-02
3.575287476142580134e-01 2.283352169462165432e-02
3.763428856038317782e-01 2.994452909213628222e-02
3.783532528828768005e-01 4.550084367566614718e-02
3.823414343203512811e-01 2.922845567454510768e-02
3.659264100067159964e-01 2.111941796024570037e-02
3.576783252059268503e-01 2.718197634566505566e-02
3.806652015926352828e-01 3.668234480178446388e-02
3.783685038639759135e-01 2.947014493970439783e-02
3.818718113363204214e-01 3.620756896814356779e-02
3.822228526852168851e-01 2.093216808993661124e-02
3.802220378566090186e-01 3.547325502752513016e-02
3.850943364385839840e-01 3.975410359685392636e-02
3.717599912377733684e-01 3.116606967185255733e-02
3.655832056645916817e-01 2.401217671290776720e-02
3.711258559140898639e-01 2.154394260320091625e-02
3.673948811289385885e-01 2.773833006803826454e-02
3.710651873923673794e-01 2.544532926434563483e-02
3.735242526556040721e-01 2.981929495481371387e-02
3.793812802531663086e-01 2.191507672686583350e-02
3.690444425817160923e-01 2.509391677810763124e-02
3.812155475008979777e-01 2.992909591314009410e-02
3.595320096784171415e-01 1.808784961348182049e-02
3.792179335079122193e-01 2.540781570153568397e-02
3.819456641490461268e-01 3.170685373130134599e-02
3.821814838398344127e-01 3.472095647008525271e-02
3.662447503688075479e-01 2.632273614410057458e-02
3.664491466315000223e-01 2.451368546517445138e-02
3.795733517672424395e-01 2.412173155260443139e-02
3.587247657831267311e-01 2.292429380591912494e-02
3.938670675622701345e-01 2.619079944535616586e-02
3.781324012880061258e-01 2.783297874187552756e-02
3.793331773187141320e-01 3.331771704861644090e-02
3.838147990182605995e-01 3.886362145706830085e-02
3.805347917092107290e-01 3.572348406282343375e-02
3.837994757002314294e-01 3.377786696431400032e-02
3.870261427664412057e-01 2.269887712567414048e-02
4.038167473199984481e-01 3.698636548071723013e-02
3.867821377328637400e-01 2.848442509004075682e-02
3.694435253899079896e-01 2.655539487838129778e-02
3.723305084380387209e-01 2.055982821896007104e-02
3.596442574366962019e-01 2.725199704777042653e-02
4.046565138616166624e-01 3.532650595821957423e-02
3.942299582036927208e-01 3.748343784101506454e-02
3.878539835012390080e-01 1.985986616130754057e-02
3.724296290847374791e-01 3.002467155444447575e-02
3.882173401178776184e-01 2.851930538146564553e-02
3.781954450291178937e-01 2.627753134741573141e-02
3.842286804406199741e-01 2.309358244695566137e-02
3.835703179038859600e-01 2.530735682239268827e-02
3.797459940887460972e-01 1.751996475071338974e-02
3.657765017558772258e-01 2.363430161032479410e-02
4.029058261122231976e-01 4.641037164706307561e-02
3.768346379299771232e-01 2.989909675411332041e-02
3.778506139655208873e-01 2.765301301552689286e-02
3.939772057488507007e-01 3.167896736069181207e-02
4.073426960803532837e-01 4.560463649701599481e-02
4.214417624715414146e-01 3.469501065996798139e-02
3.984502391717274494e-01 3.238612390796883483e-02
4.072801471895097225e-01 3.445818893565780194e-02
3.773516560829659472e-01 2.876083126759733724e-02
3.614202212463580866e-01 2.741050191906294065e-02
3.902544758607267017e-01 3.492784353236833700e-02
3.941796003469471565e-01 4.414278834900484116e-02
3.680273162686999999e-01 4.107821725806048985e-02
3.919776862758431180e-01 3.858980186067573898e-02
3.641724865041194303e-01 1.504068294094821137e-02
4.058328925629429151e-01 3.386570140993895583e-02
3.907305946113986406e-01 4.585024661684628661e-02
3.889389823288053605e-01 3.925825807725062677e-02
3.734657993743889515e-01 2.135990990400279607e-02
3.692691157112573674e-01 2.130580942610602740e-02
3.776873896628686889e-01 2.391294154832826133e-02
3.743698994684819259e-01 2.656306617189692701e-02
3.668807392576776127e-01 1.675312615723233839e-02
3.681059159783376389e-01 2.735152233281233983e-02
3.774292491839787989e-01 2.938681994665276465e-02
3.745950108648936072e-01 2.601102006073616538e-02
3.740023355039187591e-01 2.706501756783820031e-02
3.576394690793432418e-01 1.723561609796309471e-02
3.977410395110112518e-01 5.087507944811843485e-02
3.651981730364950995e-01 2.458367568365749448e-02
4.038565569608180694e-01 3.867580898450798110e-02
3.808022200341525942e-01 2.772221903265856269e-02
3.652701822387596220e-01 2.442239543292937243e-02
3.861442820158220157e-01 2.790147508532513435e-02
3.960997152895055495e-01 2.424286530056864175e-02
3.809762586148034424e-01 3.305782163546574365e-02
3.774481696350004412e-01 2.537421385823664458e-02
3.876227526791252709e-01 3.217144965702529308e-02
3.814300859123788690e-01 4.029803166114541424e-02
3.798930415550144102e-01 2.500567674811142449e-02
3.964448255161601709e-01 5.315732840827780414e-02
3.735622204204622210e-01 2.991417013689971066e-02
3.960428210076630262e-01 3.190971144920327213e-02
3.928237301476235621e-01 4.400925314624329343e-02
3.557881713656949607e-01 2.222158725919548897e-02
3.974757045171374847e-01 2.962444886247720191e-02
3.662903035644970440e-01 2.645865498976929936e-02
3.698717564271930547e-01 2.463620276767510692e-02
3.750752713271645611e-01 3.105525736501213094e-02
3.807063387050071968e-01 3.089900508112754587e-02
3.928446033725685460e-01 2.912931847046599035e-02
3.782570944337361185e-01 3.736788425306533656e-02
3.766047218044319411e-01 2.745520080863099802e-02
3.782552195752694746e-01 2.713180742751465646e-02
3.784552248408525887e-01 5.105868666277488949e-02
3.699071091579584358e-01 2.279041083823561686e-02
3.710223924709322163e-01 2.601296674094302763e-02
3.654542726548277165e-01 2.791598220976307040e-02
3.728985142371351591e-01 2.369976449569003926e-02
3.711181419130806791e-01 3.353157592558473482e-02
3.987746627899433349e-01 3.163745839008649807e-02
3.911527926099065966e-01 5.757078812986138328e-02
3.763870135716795851e-01 2.941524291328099019e-02
3.846840268451974243e-01 2.475636805390584935e-02
3.740060231703628557e-01 2.813919999510278852e-02
3.871163766851708488e-01 4.412531704591899501e-02
3.953879577052430427e-01 3.610101525941952771e-02
3.768958010604341324e-01 1.979499092270567071e-02
4.066013767801519019e-01 2.989284846018160080e-02
3.754630491736384856e-01 2.739809427392381896e-02
3.789264855023422585e-01 4.012300620404620627e-02
3.889879526308092639e-01 3.384115994555699641e-02
3.838482731001843784e-01 4.199213096985017490e-02
3.976303875892699402e-01 3.662947739489313959e-02
3.656590122165630508e-01 2.714809226976146878e-02
3.653974934515221151e-01 3.104306666448704982e-02
3.707329138515602085e-01 2.479526596442416936e-02
3.678705466418191738e-01 2.418486964480518961e-02
3.904052521579533530e-01 1.976365553036541628e-02
